local_experiment_id,underlying,target_delta,target_dte,allocation,slippage_bps,execution_proxy,evidence_label,start,end,days,terminal_value,total_return,cagr,ann_vol,sharpe_0rf,max_drawdown,entries,rolls,resized_entries,rejected_entries,no_candidate_days
LEOD057,QQQ,0.9,365,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,6171906.077570303,5.171906077570303,0.13936670328356748,0.16181161330318053,0.8890727513139046,-0.24168542994925113,28,27,16,0,0
LEOD058,QQQ,0.9,365,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,24358392.639456745,23.358392639456746,0.2572046213649932,0.33098494228087416,0.8579977622318078,-0.46194707882176533,28,27,17,0,0
LEOD059,QQQ,0.9,365,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,24042836.638812006,23.042836638812005,0.2560299801374446,0.3310096735446265,0.85512499689177,-0.4625742826482736,28,27,17,0,0
LEOD060,QQQ,0.9,365,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,23702700.767940506,22.702700767940506,0.2547477049017117,0.33095422378340744,0.8521162789975418,-0.4629213683339757,28,27,17,0,0
LEOD061,QQQ,0.9,365,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,143750420.0,142.75042,0.4278235155738703,0.7469582887379952,0.8366099496516283,-0.8122565355267601,28,27,17,0,0
LEOD062,QQQ,0.9,365,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,140206786.9310001,139.20678693100012,0.42527092908914543,0.7471892417384555,0.834153242784582,-0.8128253656565989,28,27,17,0,0
LEOD063,QQQ,0.9,365,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,136511073.6540001,135.5110736540001,0.4225441836429702,0.7473637042099119,0.8315581917698204,-0.8133947826695906,28,27,17,0,0
LEOD064,QQQ,0.9,548,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,5304105.307801445,4.304105307801445,0.12705716363047825,0.15411413323158782,0.8548954726382002,-0.21970791263868894,28,27,15,0,0
LEOD065,QQQ,0.9,548,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,5272824.457328585,4.272824457328585,0.12657935927966313,0.1541678968431528,0.8518924337682697,-0.2191329533684082,28,27,16,0,0
LEOD066,QQQ,0.9,548,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,5222369.182551252,4.222369182551252,0.125803098541444,0.15391619465451364,0.8485462848799423,-0.21965650367707357,28,27,16,0,0
LEOD067,QQQ,0.9,548,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,19101280.07216101,18.10128007216101,0.23548283510301116,0.3171976207454796,0.8259533339391206,-0.40776948647543776,28,27,16,0,0
LEOD068,QQQ,0.9,548,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,18849150.185870234,17.849150185870233,0.23430653012910652,0.3173715584493662,0.8226617672337078,-0.40842285103979425,28,27,16,0,0
LEOD069,QQQ,0.9,548,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,18556282.332158603,17.556282332158602,0.23292168498708454,0.3172888315562446,0.8192450085708901,-0.4091305095707709,28,27,16,0,0
LEOD070,QQQ,0.9,548,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,147948370.60000002,146.94837060000003,0.43077290016762015,0.7203226743071882,0.8420145115785969,-0.7302185921259007,28,27,16,0,0
LEOD071,QQQ,0.9,548,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,144201582.40750012,143.20158240750013,0.4281442994281761,0.7205827238050011,0.8393866951581316,-0.7302318975697334,28,27,16,0,0
LEOD072,QQQ,0.9,548,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,140379678.6290001,139.3796786290001,0.4253968506560377,0.7206888602743771,0.8366945269117665,-0.730210749380438,28,27,16,0,0
LEOD073,QQQ,0.9,730,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,4353230.583611821,3.353230583611821,0.11120730044371374,0.14424440489373253,0.8048374681574849,-0.2095807182484537,28,27,12,0,0
LEOD074,QQQ,0.9,730,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,4319907.328235673,3.319907328235673,0.11059533794438492,0.14435336895032885,0.8005113620445911,-0.2113215284046589,28,27,13,0,0
LEOD075,QQQ,0.9,730,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,4274860.35962276,3.2748603596227595,0.10976107277159297,0.14422818342436952,0.7958574716457468,-0.21084334864250465,28,27,13,0,0
LEOD076,QQQ,0.9,730,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,13336337.274898093,12.336337274898094,0.20406946293719774,0.29694603972923683,0.7749398479798469,-0.39447552493096194,28,27,14,0,0
LEOD077,QQQ,0.9,730,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,13158871.613534972,12.158871613534972,0.20291368997022108,0.2969434430401965,0.77170146316207,-0.39440374602732153,28,27,14,0,0
LEOD078,QQQ,0.9,730,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,12937797.096516363,11.937797096516363,0.20145349524007905,0.29691873782911166,0.7676408552306222,-0.3954702706539005,28,27,14,0,0
LEOD079,QQQ,0.9,730,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,83731364.9,82.7313649,0.373560747172726,0.6726386191775858,0.7965230054665497,-0.6736812685631863,28,27,15,0,0
LEOD080,QQQ,0.9,730,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,81588863.96100004,80.58886396100004,0.37101074941407397,0.6726536769083375,0.7937945535477623,-0.6736901287954671,28,27,16,0,0
LEOD081,QQQ,0.9,730,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-15,3509,79422721.6580001,78.4227216580001,0.36836861965566037,0.6728676320225475,0.7908517838782991,-0.6736056752402595,28,27,16,0,0
LEOD082,SPY,0.7,365,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,6912833.693169253,5.912833693169253,0.1487583236396206,0.2220856781454677,0.7370121230634012,-0.3072839970033099,28,27,13,0,1
LEOD083,SPY,0.7,365,0.25,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,6878390.598101888,5.878390598101888,0.1483468112177464,0.2219960277939665,0.7355993132782501,-0.3074601466723941,28,27,13,0,1
LEOD084,SPY,0.7,365,0.25,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,6833302.525828465,5.833302525828465,0.14780521626457488,0.22206155842706132,0.7333214104370975,-0.30746239392283703,28,27,13,0,1
LEOD085,SPY,0.7,365,0.5,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,21880037.516932882,20.880037516932884,0.2477335950852848,0.45683991218285835,0.7142677440073528,-0.5539689629552991,28,27,13,0,1
LEOD086,SPY,0.7,365,0.5,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,21585436.64102284,20.585436641022838,0.2465209357126945,0.4568282130295114,0.712134128355698,-0.5543164284678379,28,27,14,0,1
LEOD087,SPY,0.7,365,0.5,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,21320664.814816553,20.320664814816553,0.2454178801106648,0.4567755487169731,0.7102241394088817,-0.5544395098545649,28,27,14,0,1
LEOD088,SPY,0.7,365,1.0,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,13350058.300000004,12.350058300000004,0.20429003537064627,1.2374798879158997,0.7208097421308624,-0.9802939032822005,28,27,14,0,1
LEOD089,SPY,0.7,365,1.0,5,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,12972690.79050002,11.972690790500021,0.20181558139416533,1.238395222288824,0.7192894194761223,-0.9803970491805764,28,27,14,0,1
LEOD090,SPY,0.7,365,1.0,10,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,12680033.284000024,11.680033284000023,0.19985014355232988,1.2383838069469302,0.7179357085843333,-0.980430738752885,28,27,15,0,1
LEOD091,SPY,0.7,548,0.25,0,signal_close_to_next_close_quote_side,FREE_DISCOVERY_LOCAL_EOD_PROXY,2012-01-03,2025-12-12,3508,7425724.880383292,6.425724880383292,0.15467095537057474,0.22226415013499437,0.7587423234304594,-0.2826727507120935,28,27,13,0,0
