regime,strategy,horizon_years,paths,median_cagr,p10_cagr,p01_cagr,prob_beat_1x,prob_dd_gt_50,prob_dd_gt_70,prob_dd_gt_90,median_max_dd,p10_max_dd,prob_terminal_below_start,prob_terminal_below_0p1
productivity_bull_empirical,LETF_S9_35_12,10,2500,0.2880657132952159,0.12907407887956163,0.01873852642641039,0.932,0.212,0.004,0.0,-0.42618511101755713,-0.5507632149599697,0.0072,0.0
productivity_bull_empirical,LETF_S9_35_12,20,2500,0.28574549190067144,0.17292496718027597,0.08162169347240758,0.9776,0.4032,0.0096,0.0,-0.4782175247762597,-0.5990118864072994,0.0,0.0
productivity_bull_empirical,LETF_S9_35_12,40,2500,0.2873416524948508,0.2067406852792133,0.14415620963532716,0.9984,0.656,0.0292,0.0,-0.5290145858059899,-0.6430324298016775,0.0,0.0
productivity_bull_empirical,LETF_S9_35_0,10,2500,0.2659369118181435,0.10714309387599937,-0.0094311977601825,0.8704,0.2784,0.012,0.0,-0.4395279972919727,-0.5798394916454178,0.014,0.0
productivity_bull_empirical,LETF_S9_35_0,20,2500,0.2634437796349438,0.15316535150208974,0.058090407257258427,0.9436,0.4984,0.026,0.0,-0.49908613711603783,-0.6373739685551494,0.0008,0.0
productivity_bull_empirical,LETF_S9_35_0,40,2500,0.26605905210124803,0.18442340344424685,0.12446815611248857,0.9872,0.754,0.0632,0.0,-0.5546181833437409,-0.6776577478309543,0.0,0.0
productivity_bull_empirical,FUT_VOL25,10,2500,0.2743709755586172,0.14136989810883577,0.04091306802429561,0.9648,0.1584,0.0048,0.0,-0.3965461874736438,-0.5338909839356477,0.0024,0.0
productivity_bull_empirical,FUT_VOL25,20,2500,0.27545864756436167,0.17951483005262509,0.10068069543820202,0.992,0.3216,0.0088,0.0,-0.4560442485277507,-0.5858351415380555,0.0,0.0
productivity_bull_empirical,FUT_VOL25,40,2500,0.2744536350440958,0.20524397802599043,0.15600251323691222,1.0,0.5472,0.0256,0.0,-0.5109192713020381,-0.6316091468442386,0.0,0.0
productivity_bull_empirical,FUT_35_12,10,2500,0.30477062573794345,0.14387859797842578,0.030556239236925197,0.9532,0.192,0.002,0.0,-0.4205772745239704,-0.5427467065548818,0.0052,0.0
productivity_bull_empirical,FUT_35_12,20,2500,0.30308445195566747,0.18817035093784643,0.0938777841535981,0.99,0.3708,0.0072,0.0,-0.4706520872415836,-0.587012103769325,0.0,0.0
productivity_bull_empirical,FUT_35_12,40,2500,0.3047432049749227,0.2220618533492775,0.15802537029873429,0.9992,0.6128,0.0228,0.0,-0.5200723721694733,-0.631741899967126,0.0,0.0
productivity_bull_empirical,FUT_35_0,10,2500,0.2814426613048586,0.11902453855420989,-0.0011999097886047215,0.902,0.2616,0.01,0.0,-0.434363475089455,-0.572457800595228,0.0108,0.0
productivity_bull_empirical,FUT_35_0,20,2500,0.2790837965427577,0.16557308325853032,0.0691023921923084,0.9568,0.4752,0.0216,0.0,-0.49364737725774993,-0.6299233494769996,0.0004,0.0
productivity_bull_empirical,FUT_35_0,40,2500,0.2815555444686775,0.19750743027367484,0.13688586923552531,0.9936,0.7296,0.0536,0.0,-0.548126716401069,-0.6690207297268236,0.0,0.0
productivity_bull_empirical,FUT_40_0,10,2500,0.29645877515498886,0.12342246863788345,-0.006647586113836873,0.912,0.3408,0.0196,0.0,-0.45646008678266514,-0.6031836825121529,0.012,0.0
productivity_bull_empirical,FUT_40_0,20,2500,0.294852119883125,0.17192449910172336,0.07365479066223463,0.964,0.5904,0.0424,0.0,-0.5214230516728391,-0.6563710540232094,0.0004,0.0
productivity_bull_empirical,FUT_40_0,40,2500,0.2972918895633596,0.20688241159627999,0.14057884285214964,0.9956,0.8412,0.094,0.0,-0.5754729120068425,-0.6972503910474386,0.0,0.0
productivity_bull_empirical,FUT_2x_200DMA,10,2500,0.24094270138878104,0.10670279419560609,0.013708392177111133,0.8684,0.1588,0.0028,0.0,-0.37092568526639785,-0.5326909096245418,0.0068,0.0
productivity_bull_empirical,FUT_2x_200DMA,20,2500,0.23958395292955736,0.14733402473094853,0.07329597847965566,0.9364,0.2884,0.0068,0.0,-0.4351220833778349,-0.5661180104748035,0.0,0.0
productivity_bull_empirical,FUT_2x_200DMA,40,2500,0.242102137587075,0.17213543808037304,0.12177490285748126,0.9856,0.4944,0.0132,0.0,-0.4974808686827623,-0.6086608044741194,0.0,0.0
