experiment_id,rebalance_date,signal_date,formation_date,model,top_n,eligible_rows,scored_rows,selected_rows,executed,nav_pre,nav_post_cost,gross_trade,turnover
bottleneck_momentum:20,2016-07-01,2016-06-30,2016-06-30,bottleneck_momentum,20,484,217,20,True,18259714.083968215,18223273.488835577,24293730.088425323,1.3304551197630687
bottleneck_momentum:20,2016-10-03,2016-09-30,2016-09-30,bottleneck_momentum,20,488,219,20,True,18032097.794219416,17991362.444019157,27156900.133504394,1.5060311031703772
bottleneck_momentum:20,2017-01-03,2016-12-30,2016-12-31,bottleneck_momentum,20,490,217,20,True,17838331.45435283,17800893.421118636,24958688.82279704,1.3991605036975998
bottleneck_momentum:20,2017-04-03,2017-03-31,2017-03-31,bottleneck_momentum,20,491,228,20,True,19176837.944160238,19147527.114125974,19540553.356176767,1.0189663912828386
bottleneck_momentum:20,2017-07-03,2017-06-30,2017-06-30,bottleneck_momentum,20,491,235,20,True,19708089.742876947,19669579.745564796,25673331.541433714,1.3026798576819334
bottleneck_momentum:20,2017-10-02,2017-09-29,2017-09-30,bottleneck_momentum,20,493,206,20,True,20844491.93010489,20800744.74536252,29164789.82824612,1.3991605036976003
bottleneck_momentum:20,2018-01-02,2017-12-29,2017-12-31,bottleneck_momentum,20,492,230,20,True,22874201.87648928,22836407.22704023,25196432.966033954,1.1015218411590362
bottleneck_momentum:20,2018-04-02,2018-03-29,2018-03-31,bottleneck_momentum,20,491,238,20,True,22929727.47761872,22881603.92404787,32082369.047233704,1.3991605036975998
bottleneck_momentum:20,2018-07-02,2018-06-29,2018-06-30,bottleneck_momentum,20,495,241,20,True,24291744.386376314,24247867.473050553,29251275.55050634,1.2041652952231585
bottleneck_momentum:20,2018-10-01,2018-09-28,2018-09-30,bottleneck_momentum,20,496,221,20,True,25217358.91553032,25179240.1682439,25412498.190947387,1.0077382915503055
bottleneck_momentum:20,2019-01-02,2018-12-31,2018-12-31,bottleneck_momentum,20,496,221,20,True,19975272.587793294,19938038.46512749,24822748.44386856,1.2426738275920957
bottleneck_momentum:20,2019-04-01,2019-03-29,2019-03-31,bottleneck_momentum,20,497,227,20,True,22919211.835464414,22871110.351500325,32067655.97605961,1.399160503697566
bottleneck_momentum:20,2019-07-01,2019-06-28,2019-06-30,bottleneck_momentum,20,493,221,20,True,23692044.9643173,23652355.165558282,26459865.83934478,1.1168249038525846
bottleneck_momentum:20,2019-10-01,2019-09-30,2019-09-30,bottleneck_momentum,20,493,228,20,True,23411923.924873784,23373258.3326366,25777061.491456054,1.1010227768624112
bottleneck_momentum:40,2009-01-02,2008-12-31,2008-12-31,bottleneck_momentum,40,409,0,0,False,10000000.0,,,
bottleneck_momentum:40,2009-04-01,2009-03-31,2009-03-31,bottleneck_momentum,40,409,0,0,False,10000000.0,,,
bottleneck_momentum:40,2009-07-01,2009-06-30,2009-06-30,bottleneck_momentum,40,427,0,0,False,10000000.0,,,
bottleneck_momentum:40,2009-10-01,2009-09-30,2009-09-30,bottleneck_momentum,40,437,0,0,False,10000000.0,,,
bottleneck_momentum:40,2010-01-04,2009-12-31,2009-12-31,bottleneck_momentum,40,442,0,0,False,10000000.0,,,
bottleneck_momentum:40,2010-04-01,2010-03-31,2010-03-31,bottleneck_momentum,40,450,0,0,False,10000000.0,,,
bottleneck_momentum:40,2010-07-01,2010-06-30,2010-06-30,bottleneck_momentum,40,450,0,0,False,10000000.0,,,
